assemblyConstituency,leadersName,position,taskStatus,campaignName,category,createdAt,taskName,likes,reply,quotes,retweets,views,tweetId,tweetText,isHalted,hashtags1,impressions,updatedAt
Vellore,R. Swaminathan,MLA,Done,Youth Outreach,Ground,05-10-2025,Rally Announcement,220,14,6,35,2800,6839120010,Join us today!,FALSE,#vellore,3400,06-10-2025
Coimbatore South,A. Kumar,MLA,In Progress,Educate Voters,Digital,07-10-2025,Online Campaign,150,18,7,44,3200,6839120011,Support change,FALSE,#coimbatoresouth,4100,08-10-2025
Madurai North,S. Priya,MLA,Done,Women Power,Event,09-10-2025,Meetup,85,8,2,11,1700,6839120012,Let's rise!,TRUE,#madurai,1920,10-10-2025
Salem,D. Arun,MLA,Done,Farmer Welfare,Ground,10-10-2025,March,240,23,8,60,3600,6839120013,Stand with us,FALSE,#salem,3810,12-10-2025
Chennai Central,M. Varun,MLA,In Progress,Urban Voices,Digital,11-10-2025,Twitter Drive,130,11,5,29,2600,6839120014,Raise your voice,FALSE,#chennai,2740,12-10-2025
Trichy East,K. Anitha,Minister,Done,Youth Rally,Event,15-10-2025,Rally Update,75,6,1,17,900,6839120015,Rally completed,FALSE,#trichy,1200,16-10-2025
Tirunelveli,N. Ravi,Minister,Done,Education First,Ground,18-10-2025,Poster Drive,110,7,2,24,1400,6839120016,Posters launched,FALSE,#tirunelveli,1830,18-10-2025
Erode,S. Meena,Minister,In Progress,Rural Connect,Digital,19-10-2025,WhatsApp Blast,80,7,3,21,1100,6839120017,Connect now,FALSE,#erode,1450,19-10-2025
Dindigul,T. Mohan,Minister,Done,Clean Politics,Event,22-10-2025,Townhall Meeting,45,2,0,6,480,6839120018,Let's discuss,TRUE,#dindigul,520,23-10-2025
Sivaganga,L. Devi,Minister,In Progress,Equal Rights,Ground,25-10-2025,Door-to-Door,190,16,5,38,2700,6839120019,Rights matter,FALSE,#sivaganga,3120,26-10-2025
